RD2009,RD2008,NEW BASIC CAR,OLD BASIC CAR
1846,1846,18A35,18A35
1849,1849,18A49,18A49
1851,1851,18A97,18A97
1861,1861,18A97,18A97
1862,1862,18A63,18A63
1863,1863,18A63,18A63
1864,1864,18A63,18A63
1871,1871,18A97,18A97
1881,1881,18A97,18A97
1891,1891,18A97,18A97
1901,1901,19A1,19A1
1902,1902,19A7,19A7
1903,1903,19A7,19A7
1904,1904,19A7,19A7
1905,1905,19A7,19A7
1906,1906,19A7,19A7
1907,1907,19A7,19A7
1908,1908,19A7,19A7
1909,1909,19A7,19A7
1911,1911,19A1,19A1
1912,1912,19A1,19A1
1921,1913,19A1,19A1
1913,1914,19A1,19A1
1925,1916,19A1,19A1
1915,1917,19A1,19A1
1916,1918,19A7,19A7
1708,1921,17A49,19A23
1709,1922,17A49,19A23
1931,1923,19A43,19A23
1924,1924,19A1,19A1
1917,1927,19A7,19A7
1918,1928,19A7,19A7
1919,1929,19A7,19A7
1717,1931,17A49,19A23
1718,1932,17A49,19A23
1719,1933,17A49,19A23
1934,1934,19A43,19A23
1935,1935,19A43,19A23
1936,1936,19A43,19A23
1738,1941,17A49,19A23
1941,1942,19A43,19A23
1943,1943,19A43,19A23
1944,1944,19A43,19A23
1739,1951,17A49,19A61
1945,1953,19A43,19A61
1749,1961,17A49,19A61
1951,1962,19A43,19A61
1954,1963,19A43,19A61
1955,1964,19A43,19A61
1758,1971,17A49,19A61
1759,1972,17A49,19A61
1952,1973,19A43,19A61
1956,1974,19A43,19A61
1963,1977,19A75,19A85
1966,1978,19A75,19A85
1975,1979,19A75,19A85
1777,1981,17A95,19A61
1778,1982,17A95,19A61
1779,1983,17A95,19A61
1961,1984,19A61,19A95
1962,1985,19A61,19A85
1964,1986,19A75,19A85
1974,1987,19A85,19A97
1971,1988,19A61,19A95
1972,1989,19A61,19A95
1797,1991,17A95,19A61
1798,1992,17A95,19A61
1799,1993,17A95,19A61
1981,1994,19A61,19A95
1982,1995,19A61,19A95
1984,1996,19A85,19A97
1985,1997,19A85,19A97
1987,1998,19A75,19A85
1983,1999,19A61,19A95
