RD1996,RD2005
500,NA
501,501
502,502
503,NA
504,504
505,505
506,506
507,507
508,508
509,509
511,511
512,512
513,513
514,514
515,515
516,516
517,517
519,519
521,521
523,523
524,524
525,525
527,527
529,529
541,541
551,551
555,555
557,557
558,558
559,559
561,561
562,562
563,563
565,656
567,567
569,569
581,581
583,583
584,584
585,585
587,587
589,589
599,599
1800,NA
1801,1801
1802,1802
1803,1803
1804,1804
1821,1821
1822,1822
1823,1823
1824,1824
1826,1826
1827,1827
1829,1829
1834,1834
1835,1835
1836,1836
1837,1837
1838,1838
1839,1839
1841,1841
1842,1842
1844,1844
1846,1846
1849,1849
1861,1861
1862,1862
1863,1863
1864,1864
1871,1871
1881,1881
1891,NA
1892,NA
