RD2007,RD2005,exact,
898,898,,
899,899,,
900,NA,,
901,901,,
902,902,,
904,NA,,
905,NA,,
906,NA,,
909,NA,,
911,911,,
914,NA,,
915,NA,,
916,925,,
917,936,,
919,NA,,
921,921,,
922,922,,
923,923,,
924,924,,
925,925,,
926,926,,
927,927,,
928,946,,
929,948,,
931,931,,
932,932,,
933,NA,,
934,934,,
935,935,,
936,936,,
937,937,,
938,938,,
939,NA,,
941,941,,
942,942,,
943,NA,,
944,944,,
945,945,,
946,946,,
948,948,,
949,NA,,
951,951,,
952,952,,
953,957,,
954,957,,
955,955,,
956,956,,
957,957,,
958,958,,
959,958,,
961,961,,
962,962,,
963,963,,
964,964,,
965,965,,
966,966,,
967,975,,
968,968,,
969,969,,
971,973,,
972,972,,
973,973,,
974,974,,
975,975,,
976,976,,
977,977,,
978,978,,
979,979,,
981,NA,,
983,983,,
984,984,,
985,NA,,
986,986,,
988,988,,
989,989,,
994,NA,,
995,995,,
998,998,,
999,999,,
1001,NA,,
1002,1004,,
1003,1004,,
1004,1004,,
1005,1005,,
1006,1006,,
1007,1007,,
1008,1008,,
1009,1027,,
1011,1011,,
1012,1012,,
1013,1013,,
1014,1014,,
1015,1015,,
1016,1016,,
1017,1017,,
1018,NA,,
1019,NA,,
1021,1021,,
1022,1022,,
1023,1006,,
1024,1024,,
1025,1025,,
1026,1026,,
1027,1027,,
1028,1028,,
1029,1025,,
1031,NA,,
1032,1032,,
1033,1033,,
1034,1034,,
1035,1035,,
1036,1036,,
1037,1037,,
1038,1038,,
1039,NA,,
1041,NA,,
1042,1042,,
1043,1043,,
1044,1044,,
1045,1045,,
1046,1046,,
1047,1047,,
1048,1048,,
1049,1049,,
1051,1051,,
1052,1052,,
1053,1053,,
1054,1054,,
1055,1055,,
1056,1056,,
1057,1057,,
1058,1058,,
1059,1059,,
1061,1061,,
1062,1062,,
1063,1063,,
1064,1064,,
1065,1065,,
1066,1066,,
1067,1067,,
1068,1068,,
1069,1069,,
1071,1071,,
1072,1072,,
1073,1073,,
1075,1075,,
1076,1076,,
1077,1077,,
1078,1078,,
1079,1079,,
1081,1081,,
1082,1082,,
1083,1083,,
1084,1084,,
1085,1085,,
1086,1086,,
1087,1087,,
1088,1088,,
1089,1089,,
1091,1091,,
1092,1092,,
1094,1094,,
1095,1095,,
1096,1096,,
1097,1097,,
1098,1098,,
1099,1099,,
1100,NA,,
1101,1101,,
1102,1102,,
1105,1105,,
1107,1127,,
1109,1109,,
1112,1112,,
1113,1113,,
1115,1115,,
1116,1137,,
1117,1117,,
1118,1138,,
1119,1119,,
1122,1122,,
1123,1123,,
1124,1124,,
1125,1125,,
1126,1126,,
1127,1127,,
1128,1128,,
1129,1129,,
1132,1132,,
1133,1133,,
1134,1134,,
1135,1135,,
1136,1136,,
1137,1137,,
1138,1138,,
1139,1139,,
1141,1141,,
1142,1142,,
1143,1143,,
1144,1144,,
1145,1145,,
1146,1146,,
1147,1147,,
1148,1148,,
1149,1149,,
1151,1151,,
1152,1152,,
1153,1153,,
1157,1157,,
1158,1158,,
1159,1159,,
1161,1161,,
1162,1162,,
1163,1161,,
1169,1149,,
1171,1171,,
1172,1172,,
1173,1173,,
1174,1174,,
1175,1175,,
1176,1176,,
1177,1177,,
1178,1177,,
1179,1179,,
1181,1181,,
1183,1173,,
1184,1184,,
1185,1185,,
1186,1186,,
1189,1189,,
1195,1195,,
1199,1199,,
1200,NA,,
1201,NA,,
1203,1203,,
1204,1204,,
1205,1205,,
1207,1208,,
1208,1208,,
1209,1209,,
1211,1211,,
1213,1213,,
1215,1215,,
1218,1218,,
1219,1219,,
1231,1231,,
1232,1232,,
1233,1233,,
1235,1235,,
1239,1239,,
1241,1241,,
1242,1242,,
1243,1243,,
1245,1245,,
1248,1248,,
1249,1249,,
1251,1251,,
1252,1252,,
1253,1253,,
1255,1255,,
1256,1256,,
1257,1256,,
1258,1258,,
1259,1259,,
1263,1263,,
1265,1265,,
1266,1266,,
1267,1266,,
1268,1268,,
1269,1269,,
1273,1273,,
1283,1283,,
1293,1293,,
1300,NA,,
1303,1303,,
1307,1307,,
1309,1309,,
1311,1311,,
1313,1313,,
1317,1317,,
1321,1321,,
1322,1323,,
1323,1323,,
1324,1325,,
1325,1325,,
1326,1327,,
1327,1327,,
1331,1331,,
1333,1333,,
1341,1341,,
1342,1342,,
1343,1343,,
1344,1343,,
1345,1345,,
1346,1345,,
1347,1347,,
1351,1351,,
1352,1352,,
1353,1353,,
1354,1342,,
1361,1361,,
1362,1362,,
1363,1363,,
1364,1365,,
1365,1365,,
1367,1367,,
1371,1371,,
1372,1373,,
1373,1373,,
1375,1375,,
1377,1377,,
1381,1381,,
1383,1383,,
1385,1385,,
1391,1391,,
1393,1393,,
1394,1393,,
1395,1395,,
1400,NA,,
1401,1401,,
1402,1402,,
1403,1403,,
1405,1405,,
1406,1406,,
1407,1407,,
1408,1408,,
1409,1409,,
1411,1411,,
1412,1412,,
1413,1413,,
1414,1414,,
1415,1415,,
1416,1416,,
1424,1424,,
1425,1425,,
1426,1426,,
1427,1427,,
1428,1428,,
1431,1431,,
1432,1432,,
1433,1433,,
1434,1434,,
1435,1435,,
1436,1436,,
1437,1437,,
1438,1438,,
1441,1441,,
1443,1443,,
1444,1444,,
1445,1445,,
1446,1446,,
1449,1449,,
1451,1451,,
1452,1452,,
1453,1453,,
1454,1454,,
1455,1455,,
1456,1456,,
1457,1457,,
1458,1458,,
1459,1459,,
1462,1462,,
1463,1463,,
1464,1464,,
1465,1465,,
1466,1466,,
1467,1467,,
1468,1457,,
1469,1469,,
1471,1471,,
1472,1472,,
1473,1473,,
1474,1474,,
1475,1475,,
1476,1476,,
1477,1477,,
1479,1479,,
1483,1483,,
1484,1484,,
1485,1485,,
1486,1486,,
1487,1487,,
1488,1488,,
1489,1489,,
1491,1491,,
1492,1492,,
1493,1493,,
1494,1494,,
1495,1495,,
1496,1496,,
1497,1497,,
1498,1498,,
1499,1499,,
1500,NA,,
1501,1501,,
1502,1502,,
1503,1503,,
1504,1504,,
1505,1505,,
1506,1506,,
1507,1507,,
1508,1508,,
1509,1509,,
1511,1511,,
1512,1512,,
1513,1513,,
1514,1514,,
1515,1515,,
1516,1516,,
1517,1518,,
1518,1518,,
1519,1519,,
1521,1521,,
1522,1522,,
1523,1523,,
1524,1524,,
1525,1523,,
1526,1526,,
1527,1527,,
1528,1528,,
1529,1529,,
1531,1531,,
1532,1532,,
1533,1533,,
1534,1534,,
1535,1516,,
1536,1506,,
1537,1537,,
1538,1538,,
1539,1539,,
1541,NA,,
1542,1542,,
1543,1543,,
1544,1544,,
1545,1545,,
1546,1546,,
1547,1547,,
1548,1549,,
1549,1549,,
1551,1522,,
1552,1503,,
1553,1553,,
1554,1514,,
1555,1555,,
1557,1557,,
1558,1558,,
1559,1559,,
1562,1562,,
1563,1515,,
1564,1529,,
1565,1565,,
1566,1566,,
1567,1567,,
1568,1568,,
1569,1569,,
1581,1581,,
1583,NA,,
1585,1585,,
1586,1586,,
1588,1588,,
1589,1589,,
1591,NA,,
1592,1592,,
1595,1595,,
1596,1596,,
1599,1599,,
1601,NA,,
1602,NA,,
1605,NA,,
1606,NA,,
1607,NA,,
1608,NA,,
1611,NA,,
1612,NA,,
1615,NA,,
1616,NA,,
1617,NA,,
1618,NA,,
1621,NA,,
1622,NA,,
1623,NA,,
1625,NA,,
1626,1626,,
1627,1627,,
1633,1633,,
1634,1634,,
1635,1635,,
1636,1657,,
1637,1637,,
1638,1659,,
1639,1639,,
1641,NA,,
1645,NA,,
1646,1654,,
1647,1663,,
1648,1675,,
1649,1658,,
1651,1651,,
1652,1652,,
1653,1653,,
1654,1654,,
1655,1655,,
1656,1656,,
1657,1657,,
1658,1658,,
1659,1659,,
1661,1661,,
1662,1662,,
1663,1663,,
1664,1664,,
1665,1665,,
1666,1666,,
1667,1667,,
1668,1668,,
1669,1669,,
1671,1671,,
1672,1672,,
1673,1673,,
1674,1674,,
1675,1675,,
1676,1676,,
1677,1677,,
1678,1678,,
1679,1687,,
1681,1681,,
1682,1682,,
1683,1683,,
1684,1684,,
1685,1685,,
1686,1686,,
1687,1687,,
1688,1688,,
1689,1689,,
1691,1691,,
1692,1692,,
1693,1693,,
1694,1694,,
1695,1695,,
1696,1696,,
1697,1697,,
1698,1688,,
1699,1699,,
1701,1701,,
1702,1702,,
1703,1703,,
1704,1704,,
1705,1705,,
1706,1706,,
1707,1707,0,
1712,NA,,
1713,1713,,
1714,1714,,
1715,1715,,
1716,1716,,
1717,NA,,
1721,1721,,
1722,1722,,
1723,1723,,
1724,1724,,
1725,1725,,
1726,1726,,
1727,1727,,
1728,1728,,
1729,NA,,
1731,1731,,
1732,1732,,
1733,1733,,
1734,1734,,
1735,1735,,
1736,1736,,
1737,1737,,
1738,1738,,
1739,NA,,
1742,NA,,
1743,NA,,
1744,1744,,
1745,1745,,
1746,1746,,
1747,1747,,
1751,1751,,
1752,1752,,
1753,1753,,
1754,1754,,
1755,1755,,
1756,1756,,
1757,1757,,
1758,1758,,
1761,NA,,
1762,1762,,
1763,1763,,
1764,1764,,
1765,NA,,
1767,NA,,
1768,NA,,
1771,1771,,
1772,1772,,
1773,1773,,
1774,1774,,
1775,1775,,
1776,1776,,
1777,1777,,
1778,1778,,
1779,NA,,
1781,1781,,
1782,1782,,
1783,1783,,
1784,1784,,
1785,1785,,
1786,1786,,
1787,1787,,
1788,1788,,
1791,1791,,
1792,1792,,
1793,1793,,
1794,NA,,
1795,NA,,
1797,NA,,
1798,NA,,
1799,NA,,
1800,NA,,
1801,1801,,
1802,1802,,
1803,1803,,
1804,1804,,
1805,1803,,
1806,1804,,
1821,1821,,
1822,1822,,
1823,1823,,
1824,1824,,
1826,1826,,
1827,1827,,
1829,1829,,
1831,1871,,
1832,1842,,
1834,1834,,
1835,1835,,
1836,1836,,
1837,1837,,
1838,1838,,
1839,1839,,
1841,1841,,
1842,1842,,
1844,1844,,
1846,1846,,
1849,1849,,
1851,1871,,
1861,1861,,
1862,1862,,
1863,1863,,
1864,1864,,
1871,1871,,
1881,1881,,
1891,1881,,
1901,1901,,
1902,1902,,
1903,1903,,
1904,1904,,
1905,1905,,
1906,1906,,
1907,1907,,
1908,1908,,
1909,1909,,
1911,1911,,
1912,1912,,
1913,1913,,
1914,1914,,
1916,1916,,
1917,1917,,
1918,1918,,
1919,NA,,
1921,1921,,
1922,1922,,
1923,1923,,
1924,1924,,
1927,1918,,
1928,1907,,
1929,1929,,
1931,1931,,
1932,1932,,
1933,1933,,
1934,1934,0,
1935,1935,0,
1936,1936,,
1941,1941,,
1942,1942,0,
1943,1943,,
1944,1944,,
1945,NA,,
1951,1951,,
1952,NA,,
1953,1953,,
1955,NA,,
1958,NA,,
1959,NA,,
1961,1961,,
1962,1962,,
1963,1963,,
1964,1964,,
1966,NA,,
1967,NA,,
1969,NA,,
1971,1971,,
1972,1972,,
1973,1973,,
1974,1974,,
1977,1986,,
1978,1986,,
1979,1986,,
1981,1981,,
1982,1982,,
1983,1983,,
1984,1984,,
1985,1985,,
1986,1986,,
1987,1987,,
1988,1994,,
1989,1995,,
1991,1991,,
1992,1992,,
1993,1993,,
1994,1994,,
1995,1995,,
1996,1996,,
1997,1997,,
1998,1998,,
1999,1995,,
2001,NA,,
2002,NA,,
2005,NA,,
2011,NA,,
2013,NA,,
2014,NA,,
2015,NA,,
2017,NA,,
2021,NA,,
2022,NA,,
2024,NA,,
2025,NA,,
2026,NA,,
2027,NA,,
2029,NA,,
2031,NA,,
2034,NA,,
2036,NA,,
2038,NA,,
2039,NA,,
2041,NA,,
2042,NA,,
2044,NA,,
2046,NA,,
2053,NA,,
2054,NA,,
2056,NA,,
2058,NA,,
2062,NA,,
2069,NA,,
2073,NA,,
2074,NA,,
2076,NA,,
2083,NA,,
2088,NA,,
2097,NA,,
2099,NA,,
2101,NA,,
2103,NA,,
2107,NA,,
2111,NA,,
2114,NA,,
2115,NA,,
2118,NA,,
2125,NA,,
2126,NA,,
2129,NA,,
2131,NA,,
2132,NA,,
2133,NA,,
2136,NA,,
2137,NA,,
2138,NA,,
2139,NA,,
2141,NA,,
2142,NA,,
2144,NA,,
2146,NA,,
2148,NA,,
2149,NA,,
2155,NA,,
2157,NA,,
2158,NA,,
2161,NA,,
2169,NA,,
2172,NA,,
2175,NA,,
2177,NA,,
2183,NA,,
2185,NA,,
2187,NA,,
2189,NA,,
2196,NA,,
