RD1997,RD2005
1000,NA
1001,1771
1002,1781
1003,1003
1004,1004
1005,1005
1006,1006
1007,1007
1008,1008
1011,1011
1012,1012
1013,1013
1014,1014
1015,1015
1016,1016
1017,1017
1021,1021
1022,1022
1024,1024
1025,1025
1026,1026
1027,1027
1028,1028
1032,1032
1033,1033
1034,1034
1035,1035
1036,1036
1037,1037
1038,1038
1042,1042
1043,1043
1044,1044
1045,1045
1046,1046
1047,1047
1048,1048
1049,1049
1051,1051
1052,1052
1053,1053
1054,1054
1055,1055
1056,1056
1057,1057
1058,1058
1059,1059
1061,1061
1062,1062
1063,1063
1064,1064
1065,1065
1066,1066
1067,1067
1068,1068
1069,1069
1071,1071
1072,1072
1073,1073
1074,NA
1075,1075
1076,1076
1077,1077
1078,1078
1079,1079
1081,1081
1082,1082
1083,1083
1084,1084
1085,1085
1086,1086
1087,1087
1088,1088
1089,1089
1091,1091
1092,1092
1094,1094
1095,1095
1096,1096
1097,1097
1098,1098
1099,1099
1300,NA
1303,1303
1307,1307
1309,1309
1311,1311
1313,1313
1317,1317
1321,1321
1323,1323
1325,1325
1327,1327
1331,1331
1333,1333
1341,1341
1342,1342
1343,1343
1345,1345
1347,1347
1351,1351
1352,1352
1353,1353
1361,1361
1362,1362
1363,1363
1365,1365
1367,1367
1371,1371
1373,1373
1375,1375
1377,1377
1381,1381
1383,1383
1385,1385
1391,1391
1393,1393
1395,1395
1500,NA
1501,1501
1502,1502
1503,1503
1504,1504
1505,1505
1506,1506
1507,1507
1508,1508
1509,1509
1511,1511
1512,1512
1513,1513
1514,1514
1515,1515
1516,1516
1518,1518
1519,1519
1521,1521
1522,1522
1523,1523
1524,1524
1526,1526
1527,1527
1528,1528
1529,1529
1531,1531
1532,1532
1533,1533
1534,1534
1537,1537
1538,1538
1539,1539
1542,1542
1543,1543
1544,1544
1545,1545
1546,1546
1547,1547
1549,1549
1553,1553
1555,1555
1557,1557
1558,1558
1559,1559
1562,1562
1565,1565
1566,1566
1567,1567
1568,1568
1569,1569
1581,1581
1585,1585
1586,1586
1588,1588
1589,1589
1592,1592
1595,1595
1596,1596
1599,1599
