RD2005,RD2008,RD2007,RD2006,RD2004,RD2003,RD2002,RD2001,RD2000,RD1999,RD1998,RD1997,RD1996,RD1995,RD1994,RD1993,RD1992,RD1991,RD1990,RD1989,RD1988
631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631
632,632,632,632,632,632,632,632,632,632,632,632,632,632,632,632,632,632,632,632,632
635;636,635;636,635;636,635;636,635;636,635;636,635;636,635;636,635;636,635;636,635;636,635;636,635;636,635;636,635;636,635;636,635;636,636,636,636,636
637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637
638,638,638,638,638,638,638,638,638,638,638,638,638,638,638,638,638,638,638,638,638
639,639,639,639,639,639,639,639,639,639,639,639,639,639,639,639,639,639,639,639,639
642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642
643;644,643;644,643;644,643;644,643;644,643;644,643;644,643;644,643;644,643;644,643;644,643;644,643;644,643;644,643;644,643;644,643;644,643,643,643,643
645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645
646,646,646,646,646,646,646,646,646,646,646,646,646,646,646,646,646,646,646,646,646
647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647
649,648;649,648;649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649
665,665,665,665,665,665,665,665,665,665,665,665,665,665,665,665,665,665,665,665,665
666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666
667;668,667;668,667;668,667;668,667;668,667;668,667;668,667;668,667;668,667;668,667;668,667;668,667;668,667;668,667;668,667;668,667;668,667,667,667,667
669,659;669,659;669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669
671,671,671,671,671,671,671,671,671,671,671,671,671,671,671,671,671,671,671,671,671
672,672,672,672,672,672,672,672,672,672,672,672,672,672,672,672,672,672,672,672,672
674,674,674,674,674,674,674,674,674,674,674,674,674,674,674,674,674,674,674,674,674
676,656;676,656;676,676,676,676,676,676,676,676,676,676,676,676,676,676,676,676,676,676,676
677,657;677,657;677,677,677,677,677,677,677,677,677,677,677,677,677,677,677,677,677,677,677
678,678,678,678,678,678,678,678,678,678,678,678,678,678,678,678,678,678,678,678,678
679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679
691,691,691,691,691,691,691,691,691,691,691,691,691,691,691,691,691,691,691,691,691
692,692,692,692,692,692,692,692,692,692,692,692,692,692,692,692,692,692,692,692,692
693,693,693,693,693,693,693,693,693,693,693,693,693,693,693,693,693,693,693,693,693
694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694
697,696;697,696;697,697,697,697,697,697,697,697,697,697,697,697,697,697,697,697,697,697,697
699,698;699,698;699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699
701,701,701,701,701,701,701,701,701,701,701,701,701,701,701,701,701,701,701,701,701
702,702,702,702,702,702,702,702,702,702,702,702,702,702,702,702,702,703,703,703,703
703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,713,713,713,713
704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704
